CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE,salinity_index,SEMAFORO_Amarillo,SEMAFORO_Rojo,SEMAFORO_Verde,contaminant_count
DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.907091,23.94632,2020,136.53,Media,1329.0,Permisible para riego,671.2,Cultivos sensibles,Potable - Dulce,0.4925,Media,222.8128,Potable - Dura,355.0,Aceptable,5.625327,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0053,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.043461233339457256,False,False,True,0
DLBAJ122,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.108253,23.807347,2020,247.52,Alta,1668.0,Permisible para riego,931.2,Cultivos sensibles,Potable - Dulce,0.6351,Media,198.94,Potable - Dura,1.1,Potable - Excelente,0.165785,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0808,Potable - Excelente,0.1992,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.04851636932564939,False,False,True,0
DLBAJ125,JUAN DOMINGUEZ COTA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.95892,23.97374,2020,103.23,Media,5167.0,Indeseable para riego,3311.0,Cultivos tolerantes,Salobres,0.2636,Baja,744.0356,Muy dura e indeseable usos industrial y domestico,10.0,Buena calidad,0.853692,Potable - Excelente,0.02575,No apta como FAAP,0.003,Potable - Excelente,0.005,Potable - Excelente,0.00051,Potable - Excelente,0.005,Potable - Excelente,0.0023,Potable - Excelente,0.081,Potable - Excelente,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,AS,",SI,NO,NO,NO,SI,NO,SI,SI,NO,SI,SI,SI,SI,SI,SI,0.169060614616689,False,True,False,6
DLBAJ127,TIRO SANTA CRUZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-110.0611,23.80554,2020,240.89,Alta,1369.0,Permisible para riego,811.6,Cultivos sensibles,Potable - Dulce,0.4125,Media,415.7846,Potable - Dura,857.0,Aceptable,0.211852,Potable - Excelente,0.1128,No apta como FAAP,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0027,Potable - Excelente,0.0321,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,0.06171955843115645,False,True,False,2
DLBAJ128,EL ROSARIO II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.11185,23.74221,2020,380.12,Alta,1536.0,Permisible para riego,999.8,Cultivos sensibles,Potable - Dulce,0.3513,Baja,527.7972,Muy dura e indeseable usos industrial y domestico,4106.0,Contaminada,0.877601,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.0399,No apta como FAAP,0.0745,Potable - Excelente,1.326,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CF,PB,FE,",SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,0.07533773036445755,False,True,False,5
DLBAJ129,"SP. A.P. 1, L. 9, COL. SIN.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.72009,25.13549,2020,204.765,Alta,928.0,Permisible para riego,512.6667,Cultivos sensibles,Potable - Dulce,0.4116,Media,187.248,Potable - Dura,1.1,Potable - Excelente,9.224505,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.03247569557871055,False,False,True,0
DLBAJ130,L. 16-17 COL. LAGUNA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.8038,25.2401,2020,244.185,Alta,1593.0,Permisible para riego,789.3333,Cultivos sensibles,Potable - Dulce,0.6076,Media,199.2,Potable - Dura,1.1,Potable - Excelente,3.146125,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0104,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.04661414528847549,False,False,True,0
DLBAJ131,"L. 20, EJ. STO. DOMINGO",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.92221,25.5047,2020,251.97,Alta,12830.0,Indeseable para riego,9503.6667,Indeseable para riego,Salobres,0.4142,Media,3426.24,Muy dura e indeseable usos industrial y domestico,1.1,Potable - Excelente,9.579012,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0078,Potable - Excelente,0.1215,Potable - Excelente,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.5679222581504889,True,False,False,5
DLBAJ136,EL SARGENTO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.964667,23.96966,2020,130.98,Media,815.0,Permisible para riego,277.8,Excelente para riego,Potable - Dulce,0.5234,Media,57.6926,Potable - Suave,265.0,Aceptable,0.742984,Potable - Excelente,0.1244,No apta como FAAP,0.003,Potable - Excelente,0.0071,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Rojo,"AS,",SI,ND,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,0.018097111840995304,False,True,False,2
DLBAJ148,"RANCHO AGUA DULCE, GVO. GLEZ.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.4857,26.2279,2020,249.66,Alta,1153.0,Permisible para riego,678.0,Cultivos sensibles,Potable - Dulce,0.2563,Baja,241.4624,Potable - Dura,10.0,Buena calidad,8.444545,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0051,Potable - Excelente,0.0564,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.041962155479302286,False,False,True,0
DLBAJ149,POZO NO. 14,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.50755,26.24466,2020,221.19,Alta,3100.0,Indeseable para riego,1471.2,Cultivos con manejo especial,Ligeramente salobres,0.8969,Potable - Optima,352.2976,Potable - Dura,521.0,Aceptable,5.677573,Potable - Buena calidad,0.0485,No apta como FAAP,0.003,Potable - Excelente,0.0067,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.022,Potable - Excelente,0.7512,Sin efectos en la salud - Puede dar color al agua,Rojo,"CONDUC,AS,FE,",SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,NO,0.08995782537501784,False,True,False,4
DLBAJ150,POZO 2A,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.54894,26.30176,2020,205.86,Alta,2363.0,Dudosa para riego,1158.0,Cultivos con manejo especial,Ligeramente salobres,0.3557,Baja,362.1936,Potable - Dura,1.1,Potable - Excelente,6.520263,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0025,Potable - Excelente,0.0484,Potable - Excelente,Amarillo,"CONDUC,",SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.0762968904305792,True,False,False,2
DLBAJ157,MULEGE 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,POZO,-112.00146,26.88679,2020,189.435,Alta,1584.0,Permisible para riego,890.6,Cultivos sensibles,Potable - Dulce,0.3542,Baja,287.2224,Potable - Dura,1.1,Potable - Excelente,8.844383,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0021,Potable - Excelente,0.0373,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.05460336478910077,False,False,True,0
DLBAJ158,MULEGE 3,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,POZO,-112.05319,26.85661,2020,208.05,Alta,1376.0,Permisible para riego,720.8,Cultivos sensibles,Potable - Dulce,0.2572,Baja,313.1522,Potable - Dura,3654.0,Contaminada,7.535822,Potable - Buena calidad,0.0156,Apta como FAAP,0.003,Potable - Excelente,0.005,Potable - Excelente,0.00149,Potable - Excelente,0.005,Potable - Excelente,0.0279,Potable - Excelente,1.47,Sin efectos en la salud - Puede dar color al agua,Rojo,"CF,FE,",SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO,0.05245210130957329,False,True,False,3
DLBAJ161,CNA-SI-03 (EJ. ALFREDO V. BONFIL),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SAN IGNACIO,POZO,-112.762754,27.3359,2020,378.0,Alta,642.0,Buena para riego,748.0,Cultivos sensibles,Potable - Dulce,0.3102,Baja,341.7525,Potable - Dura,240.0,Aceptable,4.060667,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0169,Potable - Excelente,0.3243,Sin efectos en la salud - Puede dar color al agua,Amarillo,"FE,",SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,0.041871196881344254,True,False,False,2
DLBAJ182,BENITO JUAREZ 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.7937,27.9193,2020,103.13,Media,950.0,Permisible para riego,608.67,Cultivos sensibles,Potable - Dulce,0.3062,Baja,241.5623,Potable - Dura,43.0,Buena calidad,3.863066,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.006,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0044,Potable - Excelente,0.0703,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.038037202273238646,False,False,True,0
DLBAJ183,LAGUNEROS 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.67867,27.82175,2020,140.0,Media,446.0,Buena para riego,540.0,Cultivos sensibles,Potable - Dulce,0.3823,Baja,266.0324,Potable - Dura,1.1,Potable - Excelente,1.313023,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0335,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0019,Potable - Excelente,0.0436,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.03084227655892369,False,False,True,0
DLBAJ184,DIAZ ORDAZ 2. 2A. ETAPA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.4545,27.7335,2020,150.0,Media,412.0,Buena para riego,552.0,Cultivos sensibles,Potable - Dulce,0.7995,Potable - Optima,68.1075,Potable - Moderadamente suave,1.1,Potable - Excelente,3.383635,Potable - Excelente,0.0109,Apta como FAAP,0.003,Potable - Excelente,0.042,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.012874773706767186,False,False,True,0
DLBAJ185,POZO Z.A #13 G. DIAZ ORDAZ (ANTES RANCHO EL PILOTO 2),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.44772,27.62943,2020,135.0,Media,1436.0,Permisible para riego,1812.0,Cultivos con manejo especial,Ligeramente salobres,0.2943,Baja,797.9758,Muy dura e indeseable usos industrial y domestico,93.0,Buena calidad,13.83286,No apta como FAAP,0.01,Potable - Excelente,0.003,Potable - Excelente,0.011,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Rojo,"DT,NO3,",SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,0.10059238433398919,False,True,False,3
DLBAJ186,E. ZAPATA 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.3826,27.5469,2020,187.0,Alta,1192.0,Permisible para riego,1712.0,Cultivos con manejo especial,Ligeramente salobres,0.272,Baja,625.8848,Muy dura e indeseable usos industrial y domestico,9.0,Buena calidad,10.400343,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0595,No apta como FAAP,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0377,Potable - Excelente,1.244,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CR,FE,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,NO,SI,SI,SI,NO,0.08066374537542093,False,True,False,4
DLBAJ187,CARACOL 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.34142,27.5281,2020,161.0,Alta,443.0,Buena para riego,496.0,Excelente para riego,Potable - Dulce,0.3593,Baja,236.6757,Potable - Dura,4.0,Buena calidad,5.489275,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0312,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.028028281812083142,False,False,True,0
DLBAJ188,EL SILENCIO 2 (CNA-VIZ-51),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.2982,27.4703,2020,172.0,Alta,802.0,Permisible para riego,988.0,Cultivos sensibles,Potable - Dulce,0.3116,Baja,437.1921,Potable - Dura,1.1,Potable - Excelente,19.438806,No apta como FAAP,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0128,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Rojo,"NO3,",SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,0.05411627961924542,False,True,False,2
DLBAJ189,GMO. PRIETO 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.2666,27.8332,2020,154.0,Alta,506.0,Buena para riego,444.0,Excelente para riego,Potable - Dulce,0.7633,Potable - Optima,84.8712,Potable - Moderadamente suave,1.1,Potable - Excelente,3.959387,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.041,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,Sin Contaminantes,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,0.015601896920914444,False,False,True,0
DLBAJ202,HIELERA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,CABO SAN LUCAS,POZO,-109.897306,22.902244,2020,111.605,Media,951.0,Permisible para riego,500.8,Cultivos sensibles,Potable - Dulce,0.2671,Baja,166.4544,Potable - Dura,1019.0,Contaminada,13.644042,No apta como FAAP,0.01,Potable - Excelente,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0005,Potable - Excelente,0.005,Potable - Excelente,0.0094,Potable - Excelente,0.4138,Sin efectos en la salud - Puede dar color al agua,Rojo,"CF,FE,NO3,",SI,SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,NO,0.031012882805203135,False,True,False,4
